Date,Open,High,Low,Close,Volume,AdjClose
1/3/2006,14843.97,14945.05,14843.97,14944.77,250383000,14944.77
1/4/2006,15112.76,15208.86,15085.44,15200.06,565220200,15200.06
1/5/2006,15313.85,15373.79,15261.82,15271.13,514294600,15271.13
1/6/2006,15327.29,15347,15252.48,15344.44,397727400,15344.44
1/9/2006,15497.97,15602.88,15497.72,15547.43,581542400,15547.43
1/10/2006,15638.4,15658.91,15500.16,15569.91,581719000,15569.91
1/11/2006,15584.54,15725.47,15584.54,15650.88,576574400,15650.88
1/12/2006,15767.94,15791.3,15651.96,15719.37,503136400,15719.37
1/13/2006,15672.39,15792.36,15670.77,15787.97,380816800,15787.97
1/16/2006,15787.27,15816.54,15745.04,15777.72,393659200,15777.72
1/17/2006,15798.52,15798.52,15550.23,15576.2,506251600,15576.2
1/18/2006,15426.92,15525.6,15376.45,15481.21,437278800,15481.21
1/19/2006,15555.78,15675.27,15549.68,15670.42,418395400,15670.42
1/20/2006,15700.71,15788.07,15565.51,15662.08,556324200,15662.08
1/23/2006,15454.8,15497.93,15412.26,15464.77,512870000,15464.77
1/24/2006,15540.92,15551.66,15463.11,15530.57,334958200,15530.57
1/25/2006,15560.66,15572.38,15487.68,15520.39,375993800,15520.39
1/26/2006,15550.33,15563.4,15469.24,15520.07,361639800,15520.07
1/27/2006,15659.21,15770.45,15650.69,15753.14,900109200,15753.14
2/1/2006,15798.44,15808.18,15653.9,15742.3,540984600,15742.3
2/2/2006,15771.34,15775.65,15666.94,15691.69,510822200,15691.69
2/3/2006,15472.03,15486.74,15420.66,15429.73,565005800,15429.73
2/6/2006,15415.88,15564.96,15374.89,15548.06,473072800,15548.06
2/7/2006,15558.52,15560.4,15466.47,15517.01,526470000,15517.01
2/8/2006,15451.21,15469.51,15327.07,15373.44,612390600,15373.44
2/9/2006,15443.43,15467.67,15371.73,15413.43,397975800,15413.43
2/10/2006,15365.39,15443.45,15355.44,15425.95,411900800,15425.95
2/13/2006,15303.04,15355.39,15267.95,15312.09,406328000,15312.09
2/14/2006,15241.66,15445.07,15240.95,15420.32,417382000,15420.32
2/15/2006,15449.14,15514.93,15316.63,15423.26,436302800,15423.26
2/16/2006,15495.8,15495.8,15436.53,15450.88,373306400,15450.88
2/17/2006,15517.92,15520.6,15437.54,15475.69,354205000,15475.69
2/20/2006,15525.74,15627.05,15525.74,15598.67,326216800,15598.67
2/21/2006,15651.74,15661.2,15567.63,15627.24,359727400,15627.24
2/22/2006,15613.86,15641.78,15584.27,15635.72,285357400,15635.72
2/23/2006,15651.78,15849.86,15611.55,15812.53,527662800,15812.53
2/24/2006,15848.5,15875.33,15779.79,15856.05,350481000,15856.05
2/27/2006,15943.64,15999.31,15890.8,15949.89,417455600,15949.89
2/28/2006,15920.49,15928.08,15824.45,15918.48,357386400,15918.48
3/1/2006,15768.21,15887.63,15768.21,15818.09,296409200,15818.09
3/2/2006,15905.94,15922.95,15836.36,15882.45,294946800,15882.45
3/3/2006,15887.67,15896.56,15802,15802,398964400,15802
3/6/2006,15812.72,15845.2,15777,15811.83,280681600,15811.83
3/7/2006,15835.47,15835.47,15560.62,15602.36,503860000,15602.36
3/8/2006,15545.42,15555.82,15348.22,15493.09,496846400,15493.09
3/9/2006,15526.09,15555.61,15458.78,15510.13,371035400,15510.13
3/10/2006,15521.4,15521.4,15397.18,15445.05,227922800,15445.05
3/13/2006,15542.79,15545.85,15469.77,15542.07,213722400,15542.07
3/14/2006,15548.13,15548.27,15461.81,15519.76,285640000,15519.76
3/15/2006,15647.43,15762.11,15647,15720.36,324151000,15720.36
3/16/2006,15753.36,15773.73,15668.34,15729.04,237243800,15729.04
3/17/2006,15778.48,15845.97,15715.41,15801.66,431043600,15801.66
3/20/2006,15868.49,15973.01,15862.9,15929.95,428078000,15929.95
3/21/2006,15911.49,15936.18,15870.73,15922.75,249834200,15922.75
3/22/2006,15790.45,15840.14,15619.14,15642.81,383483600,15642.81
3/23/2006,15689.61,15772.93,15669.47,15771.17,315598200,15771.17
3/24/2006,15778.18,15792.04,15671.63,15716.46,290918200,15716.46
3/27/2006,15743.67,15847.75,15694.11,15815.87,416034600,15815.87
3/28/2006,15824.53,15920.07,15787,15856.58,563170400,15856.58
3/29/2006,15790.43,15843.1,15729.26,15745.11,365452000,15745.11
3/30/2006,15819.42,15954.91,15819.42,15880.69,422453600,15880.69
3/31/2006,15942.73,15964.35,15739.19,15805.04,424538400,15805.04
4/3/2006,15904.97,16076.74,15877.44,16063.75,340218000,16063.75
4/4/2006,16107.22,16121.22,16039.51,16100.09,380671000,16100.09
4/5/2006,16100.09,16100.09,16100.09,16100.09,0,16100.09
4/6/2006,16222.29,16423.31,16190.55,16411.13,575474200,16411.13
4/7/2006,16415.52,16534.83,16328.63,16471.78,450439600,16471.78
4/10/2006,16383.58,16527.94,16374.59,16521.59,335448400,16521.59
4/11/2006,16480.86,16505.76,16381.01,16475.81,295626400,16475.81
4/12/2006,16414.37,16427.56,16260.88,16310.76,448174000,16310.76
4/13/2006,16360.16,16446.67,16308.77,16429.45,337570600,16429.45
4/18/2006,16534.9,16643.8,16533.07,16637.53,422676000,16637.53
4/19/2006,16858.03,16897.81,16780.53,16830.44,564111600,16830.44
4/20/2006,16888.88,16953.25,16753.19,16944.34,436367800,16944.34
4/21/2006,16893.52,16991.52,16808.62,16912.15,414154200,16912.15
4/24/2006,16917.61,16930.01,16678.31,16705.67,479641800,16705.67
4/25/2006,16734.83,16746.31,16547.3,16577.77,495561400,16577.77
4/26/2006,16628.6,16739.27,16539.07,16672.66,397465000,16672.66
4/27/2006,16749.48,16856.97,16728.85,16742.85,293001200,16742.85
4/28/2006,16461.6,16672.41,16429.5,16661.3,362459600,16661.3
5/2/2006,16764.59,16896.86,16744.16,16868.04,594247400,16868.04
5/3/2006,17066.98,17099.48,16970.4,17026.98,530625800,17026.98
5/4/2006,16966.24,17076.92,16966.24,17013.93,357919200,17013.93
5/8/2006,17204.25,17328.43,17204.25,17301.79,552253400,17301.79
5/9/2006,17278.87,17278.87,17118.22,17133.99,470048000,17133.99
5/10/2006,17205.35,17239.21,17018.17,17080.59,388062000,17080.59
5/11/2006,17065.96,17185.79,17010.4,17140.78,513897600,17140.78
5/12/2006,16868.86,16967.04,16845.85,16901.85,405818200,16901.85
5/15/2006,16623.35,16673.53,16455.46,16494.84,469529000,16494.84
5/16/2006,16400.66,16435.55,16247.58,16393.11,582736400,16393.11
5/17/2006,16497.91,16626.71,16421.09,16615.55,482784400,16615.55
5/18/2006,16232.16,16363.34,16177.18,16266.52,503735800,16266.52
5/19/2006,16169.78,16361.94,16155.77,16313.36,360012400,16313.36
5/22/2006,16295.37,16304.95,15790.44,15805.52,472615200,15805.52
5/23/2006,15747.4,15888.48,15691.13,15864.56,561383400,15864.56
5/24/2006,15857.21,15930.17,15673.75,15822.64,468294200,15822.64
5/25/2006,15741.81,15764.72,15626.95,15696.89,426455600,15696.89
5/26/2006,15897.28,15932.26,15814.93,15895.1,438535400,15895.1
5/29/2006,15976.27,16006.07,15919.13,15963.77,307278200,15963.77
5/30/2006,15976.37,15976.37,15840.34,15857.89,393298000,15857.89
6/1/2006,15817.82,15923.73,15605.96,15645.27,488738600,15645.27
6/2/2006,15731.82,15920.06,15677.04,15912.71,473210800,15912.71
6/5/2006,15964.31,16062.27,15943.42,16016.23,307784200,16016.23
6/6/2006,15844.92,15985.99,15824.19,15973.11,318078400,15973.11
6/7/2006,15916.77,15944.48,15776.37,15816.55,320045000,15816.55
6/8/2006,15603.11,15611.52,15419.42,15450.11,560586400,15450.11
6/9/2006,15468.83,15640.31,15405.79,15628.69,441323800,15628.69
6/12/2006,15560.71,15680.32,15498.27,15621.44,282433200,15621.44
6/13/2006,15417.24,15437.26,15204.86,15234.42,487668800,15234.42
6/14/2006,15238.58,15396.5,15214.69,15247.92,410959200,15247.92
6/15/2006,15419.68,15455.57,15355.43,15435.08,461480000,15435.08
6/16/2006,15807.37,15851.51,15749.46,15842.65,562540800,15842.65
6/19/2006,15759.96,15781.56,15723.36,15768.86,192452000,15768.86
6/20/2006,15709,15709,15555.24,15608.97,449964000,15608.97
6/21/2006,15599.86,15667.7,15520.42,15659.36,251937000,15659.36
6/22/2006,15859.85,15885.71,15798.6,15826.7,330942400,15826.7
6/23/2006,15729.55,15828.49,15682.81,15808.81,339210000,15808.81
6/26/2006,15756.68,15841.14,15726.81,15804.81,306761400,15804.81
6/27/2006,15827.85,15892.92,15770.92,15774.7,294448900,15774.7
6/28/2006,15632.44,15742.66,15613.2,15742.66,303054000,15742.66
6/29/2006,15890.2,15916,15844.11,15865.22,364663200,15865.22
6/30/2006,16170.79,16273.74,16125.26,16267.62,555019000,16267.62
7/3/2006,16288.59,16364.23,16234.88,16326.66,295984400,16326.66
7/4/2006,16363.15,16379.03,16312.17,16368.98,271767300,16368.98
7/5/2006,16364,16377.66,16254.69,16267.18,226094300,16267.18
7/6/2006,16141.67,16445.18,16129.65,16440.99,256690800,16440.99
7/7/2006,16497.9,16497.9,16399.48,16459.78,216761800,16459.78
7/10/2006,16376.82,16606.62,16338.9,16603.81,223312300,16603.81
7/11/2006,16512.24,16568.62,16477.46,16490.13,343592700,16490.13
7/12/2006,16507.72,16552.64,16435.61,16522.21,197578800,16522.21
7/13/2006,16490.48,16557.97,16288.43,16305.48,324527800,16305.48
7/14/2006,16123.96,16159.09,16062.6,16135.71,296680300,16135.71
7/17/2006,15980.5,16104.15,15948.76,16064.82,231710500,16064.82
7/18/2006,16035,16109.7,15966.44,16043.94,240536700,16043.94
7/19/2006,16069.8,16171.12,16062.58,16097.54,169546200,16097.54
7/20/2006,16418.14,16481.17,16390.28,16472.62,316291000,16472.62
7/21/2006,16406.78,16483.23,16376.03,16464.18,375659400,16464.18
